date,rain_mm
2016.8.1,
2016.8.2,2
2016.8.3,
2016.8.4,
2016.8.5,
2016.8.6,
2016.8.7,
2016.8.8,
2016.8.9,1
2016.8.10,
2016.8.11,
2016.8.12,
2016.8.13,
2016.8.14,0.2
2016.8.15,0
2016.8.16,0.5
2016.8.17,
2016.8.18,
2016.8.19,11.5
2016.8.20,
2016.8.21,0
2016.8.22,0.4
2016.8.23,8
2016.8.24,0
2016.8.25,4.5
2016.8.26,20
2016.8.27,0
2016.8.28,1.5
2016.8.29,
2016.8.30,0
2016.8.31,17.5
2016.9.1,
2016.9.2,4.5
2016.9.3,0.5
2016.9.4,
2016.9.5,
2016.9.6,
2016.9.7,
2016.9.8,4.5
2016.9.9,
2016.9.10,
2016.9.11,
2016.9.12,2.5
2016.9.13,
2016.9.14,
2016.9.15,
2016.9.16,
2016.9.17,7
2016.9.18,
2016.9.19,
2016.9.20,
2016.9.21,
2016.9.22,
2016.9.23,
2016.9.24,
2016.9.25,
2016.9.26,
2016.9.27,13.5
2016.9.28,0.5
2016.9.29,
2016.9.30,
2016.10.1,
2016.10.2,18.5
2016.10.3,6.5
2016.10.4,
2016.10.5,
2016.10.6,
2016.10.7,2
2016.10.8,6
2016.10.9,
2016.10.10,
2016.10.11,
2016.10.12,
2016.10.13,
2016.10.14,
2016.10.15,
2016.10.16,1.5
2016.10.17,
2016.10.18,
2016.10.19,
2016.10.20,
2016.10.21,
2016.10.22,
2016.10.23,2.5
2016.10.24,
2016.10.25,37
2016.10.26,0
2016.10.27,
2016.10.28,0.3
2016.10.29,
2016.10.30,
2016.10.31,0.5
2016.11.1,
2016.11.2,0.1
2016.11.3,0.2
2016.11.4,0
2016.11.5,0
2016.11.6,
2016.11.7,5.5
2016.11.8,0.5
2016.11.9,
2016.11.10,0.4
2016.11.11,4
2016.11.12,
2016.11.13,0.5
2016.11.14,1.5
2016.11.15,
2016.11.16,
2016.11.17,
2016.11.18,0
2016.11.19,0
2016.11.20,
2016.11.21,
2016.11.22,0.2
2016.11.23,
2016.11.24,
2016.11.25,
2016.11.26,2.8
2016.11.27,0
2016.11.28,
2016.11.29,
2016.11.30,1
2016.12.1,
2016.12.2,
2016.12.3,
2016.12.4,
2016.12.5,1.5
2016.12.6,
2016.12.7,0
2016.12.8,3
2016.12.9,3
2016.12.10,
2016.12.11,
2016.12.12,
2016.12.13,
2016.12.14,0.1
2016.12.15,
2016.12.16,
2016.12.17,0
2016.12.18,
2016.12.19,0.1
2016.12.20,
2016.12.21,29
2016.12.22,23.5
2016.12.23,0.1
2016.12.24,
2016.12.25,
2016.12.26,0
2016.12.27,0.5
2016.12.28,
2016.12.29,0.3
2016.12.30,
2016.12.31,0
2017.3.1,5
2017.3.2,0.5
2017.3.3,
2017.3.4,
2017.3.5,0.5
2017.3.6,
2017.3.7,0
2017.3.8,0
2017.3.9,
2017.3.10,
2017.3.11,
2017.3.12,0
2017.3.13,
2017.3.14,
2017.3.15,
2017.3.16,
2017.3.17,
2017.3.18,
2017.3.19,
2017.3.20,
2017.3.21,
2017.3.22,
2017.3.23,
2017.3.24,
2017.3.25,
2017.3.26,
2017.3.27,0.4
2017.3.28,
2017.3.29,
2017.3.30,
2017.3.31,1.5
2017.4.1,1
2017.4.2,
2017.4.3,
2017.4.4,
2017.4.5,37.5
2017.4.6,3
